Country Name,Year,Value (USD),Status
0,0.632653,0.915241,0
0,0.714286,0.177148,0
0,0.734694,0.218867,0
0,0.795918,0.465862,0
0,0.816327,0.329851,0
0,0.836735,0.22786,0
0,0.857143,0.176556,0
0,0.877551,0.172682,0
0,0.897959,0.165142,0
0,0.918367,0.347387,0
0,0.959184,0.404537,0
0,0.979592,0.317247,0
0,1.0,0.403753,0
1,0.0,0.00026,0
1,0.020408,0.000465,0
1,0.040816,0.000138,0
1,0.061224,0.000203,0
1,0.081633,0.000849,0
1,0.122449,0.000106,0
1,0.142857,0.00014,0
1,0.163265,0.000101,0
1,0.183673,0.000146,0
1,0.204082,0.000274,0
1,0.22449,0.000138,0
1,0.244898,8.3e-05,0
1,0.265306,0.002466,0
1,0.285714,0.000229,0
1,0.306122,0.000462,0
1,0.326531,0.002625,0
1,0.346939,0.009084,0
1,0.367347,0.028723,0
1,0.387755,0.065121,0
1,0.408163,0.018414,0
1,0.428571,0.018067,0
1,0.469388,0.015044,0
1,0.489796,0.006847,0
1,0.510204,0.005279,0
1,0.530612,0.003845,0
1,0.55102,0.000674,0
1,0.571429,0.001691,0
1,0.591837,0.002627,0
1,0.612245,0.003035,0
1,0.632653,0.001955,0
1,0.653061,0.002796,0
1,0.673469,0.001926,0
1,0.693878,0.000872,0
1,0.714286,0.001469,0
1,0.734694,0.001417,0
1,0.755102,0.000844,0
1,0.795918,0.002033,0
1,0.816327,0.001558,0
1,0.836735,0.002517,0
1,0.857143,0.003805,0
1,0.877551,0.002638,0
1,0.897959,0.001722,0
1,0.918367,0.001645,0
1,0.938776,0.001512,0
1,0.959184,0.004595,0
1,0.979592,0.000669,0
2,0.877551,0.0,0
2,0.938776,0.0,0
2,0.959184,1e-06,0
2,0.979592,4e-06,0
2,1.0,1e-06,0
3,0.0,0.000676,0
3,0.020408,0.000773,0
3,0.040816,0.000856,0
3,0.061224,0.00051,0
3,0.081633,0.001157,0
3,0.102041,0.002856,0
3,0.122449,0.004495,0
3,0.142857,0.002841,0
3,0.163265,0.005388,0
3,0.183673,0.005834,0
3,0.204082,0.008809,0
3,0.244898,0.033186,0
3,0.265306,0.023643,0
3,0.285714,0.025135,0
3,0.306122,0.023194,0
3,0.326531,0.02636,0
3,0.346939,0.024273,0
3,0.367347,0.038509,0
3,0.387755,0.05748,0
3,0.408163,0.056677,0
3,0.428571,0.083669,0
3,0.44898,0.086698,0
3,0.469388,0.089769,0
3,0.489796,0.114746,0
3,0.510204,0.123066,0
3,0.530612,0.13885,0
3,0.55102,0.167925,0
3,0.571429,0.243375,0
3,0.591837,0.314513,0
3,0.612245,0.353615,0
3,0.632653,0.495757,0
3,0.653061,0.792605,0
3,0.673469,0.48467,0
3,0.693878,0.485678,0
3,0.714286,0.652975,0
3,0.734694,0.651327,0
3,0.77551,0.454742,0
3,0.795918,0.406031,0
3,0.816327,0.433245,0
3,0.836735,0.458837,0
3,0.857143,0.486423,0
3,0.877551,0.446746,0
3,0.897959,0.481491,0
3,0.918367,0.707706,0
3,0.938776,0.616531,0
3,0.959184,0.628793,0
3,0.979592,0.518134,0
3,1.0,0.487866,0
4,0.0,3.9e-05,0
4,0.020408,5.5e-05,0
4,0.040816,4.3e-05,0
4,0.061224,4.9e-05,0
4,0.081633,5.3e-05,0
4,0.102041,6.1e-05,0
4,0.122449,4.9e-05,0
4,0.142857,4.2e-05,0
4,0.163265,7.7e-05,0
4,0.183673,6.5e-05,0
4,0.204082,0.000463,0
4,0.22449,0.00069,0
4,0.244898,0.000799,0
4,0.265306,0.001148,0
4,0.285714,0.015127,0
4,0.306122,0.033286,0
4,0.326531,0.004436,0
4,0.346939,0.002746,0
4,0.387755,0.005063,0
4,0.408163,0.007504,0
4,0.428571,0.005967,0
4,0.44898,0.006967,0
4,0.469388,0.010422,0
4,0.489796,0.006818,0
4,0.510204,0.005579,0
4,0.530612,0.004221,0
4,0.55102,0.003756,0
4,0.571429,0.006947,0
4,0.591837,0.014965,0
4,0.612245,0.025008,0
4,0.632653,0.047888,0
4,0.653061,0.074533,0
4,0.673469,0.056642,0
4,0.693878,0.02973,0
4,0.714286,0.028188,0
4,0.734694,0.022387,0
4,0.755102,0.013644,0
4,0.77551,0.015311,0
4,0.795918,0.016576,0
4,0.816327,0.018315,0
4,0.836735,0.015325,0
4,0.857143,0.023079,0
4,0.877551,0.022759,0
4,0.897959,0.019324,0
4,0.918367,0.02296,0
4,0.938776,0.020342,0
4,0.959184,0.021583,0
4,0.979592,0.017068,0
